#NCBI-virus-protein-ID,virus-gene,virus-protein,virus-protein-identifier,virus-protein-link
3974179,ORF6,ORF6 protein,BCA25668.1,https://www.ncbi.nlm.nih.gov/protein/1807816343
3974179,ORF6,ORF6 protein,QIA20048.1,https://www.ncbi.nlm.nih.gov/protein/1808633722
3974179,ORF6,ORF6 protein,QHZ00362.1,https://www.ncbi.nlm.nih.gov/protein/1807860416
3974179,ORF6,ORF6 protein,QHD43420.1,https://www.ncbi.nlm.nih.gov/protein/1791269094
3974179,ORF6,ORF6 protein,YP_009724394.1,https://www.ncbi.nlm.nih.gov/protein/1796318602
6016,NS8,nonstructural protein NS8,QHR63257.1,https://www.ncbi.nlm.nih.gov/protein/1802633806
6016,NS8,nonstructural protein NS8,QHR63287.1,https://www.ncbi.nlm.nih.gov/protein/1802633839
6016,NS8,nonstructural protein NS8,QHR63297.1,https://www.ncbi.nlm.nih.gov/protein/1802633850
6016,NS8,nonstructural protein NS8,QHR63267.1,https://www.ncbi.nlm.nih.gov/protein/1802633817
6016,NS8,nonstructural protein NS8,QHR63277.1,https://www.ncbi.nlm.nih.gov/protein/1802633828
3974180,ORF7,ORF7 protein,QHN73800.1,https://www.ncbi.nlm.nih.gov/protein/1800242646
107824161,N,nucleocapsid phosphoprotein,QHU36871.1,https://www.ncbi.nlm.nih.gov/protein/1805293664
107824161,N,nucleocapsid phosphoprotein,QIA98602.1,https://www.ncbi.nlm.nih.gov/protein/1809484501
107824161,N,nucleocapsid phosphoprotein,QHU36841.1,https://www.ncbi.nlm.nih.gov/protein/1805293631
107824161,N,nucleocapsid phosphoprotein,BBW89524.1,https://www.ncbi.nlm.nih.gov/protein/1806500543
107824161,N,nucleocapsid phosphoprotein,QHU79211.1,https://www.ncbi.nlm.nih.gov/protein/1805599874
107824161,N,nucleocapsid phosphoprotein,QHW06066.1,https://www.ncbi.nlm.nih.gov/protein/1806553218
107824161,N,nucleocapsid phosphoprotein,QHN73817.1,https://www.ncbi.nlm.nih.gov/protein/1800242670
107824161,N,nucleocapsid protein,QHR63278.1,https://www.ncbi.nlm.nih.gov/protein/1802633829
107824161,N,nucleocapsid phosphoprotein,QHR84456.1,https://www.ncbi.nlm.nih.gov/protein/1803016613
107824161,N,nucleocapsid protein,QHR63298.1,https://www.ncbi.nlm.nih.gov/protein/1802633851
107824161,N,nucleocapsid phosphoprotein,QHU36851.1,https://www.ncbi.nlm.nih.gov/protein/1805293642
107824161,N,nucleocapsid phosphoprotein,QIA98613.1,https://www.ncbi.nlm.nih.gov/protein/1809484513
107824161,N,nucleocapsid phosphoprotein,QHZ00406.1,https://www.ncbi.nlm.nih.gov/protein/1807860472
107824161,N,nucleocapsid phosphoprotein,QHW06046.1,https://www.ncbi.nlm.nih.gov/protein/1806553196
107824161,N,nucleocapsid phosphoprotein,QIA20052.1,https://www.ncbi.nlm.nih.gov/protein/1808633726
107824161,N,nucleocapsid phosphoprotein,QHQ71980.1,https://www.ncbi.nlm.nih.gov/protein/1802471979
107824161,N,nucleocapsid phosphoprotein,BCA37478.1,https://www.ncbi.nlm.nih.gov/protein/1808682192
107824161,N,nucleocapsid phosphoprotein,BCA37476.1,https://www.ncbi.nlm.nih.gov/protein/1808682188
107824161,N,nucleocapsid protein,QHO62110.1,https://www.ncbi.nlm.nih.gov/protein/1800455122
107824161,N,nucleocapsid phosphoprotein,QHW06056.1,https://www.ncbi.nlm.nih.gov/protein/1806553207
107824161,N,nucleocapsid phosphoprotein,QHZ00386.1,https://www.ncbi.nlm.nih.gov/protein/1807860448
107824161,N,nucleocapsid phosphoprotein,QHQ82471.1,https://www.ncbi.nlm.nih.gov/protein/1802498795
107824161,N,nucleocapsid phosphoprotein,QHO60601.1,https://www.ncbi.nlm.nih.gov/protein/1800408785
107824161,N,nucleocapsid phosphoprotein,BCA37477.1,https://www.ncbi.nlm.nih.gov/protein/1808682190
107824161,N,nucleocapsid protein,QHR63288.1,https://www.ncbi.nlm.nih.gov/protein/1802633840
107824161,N,nucleocapsid phosphoprotein,BCA25661.1,https://www.ncbi.nlm.nih.gov/protein/1807816335
107824161,N,nucleocapsid phosphoprotein,BCA25671.1,https://www.ncbi.nlm.nih.gov/protein/1807816346
107824161,N,nucleocapsid phosphoprotein,QHU36831.1,https://www.ncbi.nlm.nih.gov/protein/1805293620
107824161,N,nucleocapsid phosphoprotein,QHU79201.1,https://www.ncbi.nlm.nih.gov/protein/1805599863
107824161,N,nucleocapsid phosphoprotein,QHN73802.1,https://www.ncbi.nlm.nih.gov/protein/1800242648
107824161,N,nucleocapsid protein,QHR63268.1,https://www.ncbi.nlm.nih.gov/protein/1802633818
107824161,N,nucleocapsid phosphoprotein,QHZ87599.1,https://www.ncbi.nlm.nih.gov/protein/1808500231
107824161,N,nucleocapsid phosphoprotein,QHU79181.1,https://www.ncbi.nlm.nih.gov/protein/1805599852
107824161,N,nucleocapsid phosphoprotein,QHD43423.2,https://www.ncbi.nlm.nih.gov/protein/1798172432
107824161,N,nucleocapsid phosphoprotein,QHU36861.1,https://www.ncbi.nlm.nih.gov/protein/1805293653
107824161,N,nucleocapsid phosphoprotein,YP_009724397.2,https://www.ncbi.nlm.nih.gov/protein/1798174255
107824161,N,nucleocapsid phosphoprotein,QHZ87589.1,https://www.ncbi.nlm.nih.gov/protein/1808500220
107824161,N,nucleocapsid phosphoprotein,QHQ71970.1,https://www.ncbi.nlm.nih.gov/protein/1802471968
107824161,N,nucleocapsid phosphoprotein,QHZ00396.1,https://www.ncbi.nlm.nih.gov/protein/1807860461
107824161,N,nucleocapsid phosphoprotein,QHO62884.1,https://www.ncbi.nlm.nih.gov/protein/1800489765
107824161,N,nucleocapsid protein,QHO62115.1,https://www.ncbi.nlm.nih.gov/protein/1800455128
107824161,N,nucleocapsid protein,QHR63258.1,https://www.ncbi.nlm.nih.gov/protein/1802633807
107824161,N,nucleocapsid phosphoprotein,BCA25651.1,https://www.ncbi.nlm.nih.gov/protein/1807816324
107824161,N,structural protein,QHZ00365.1,https://www.ncbi.nlm.nih.gov/protein/1807860419
107824161,N,nucleocapsid phosphoprotein,BCA25681.1,https://www.ncbi.nlm.nih.gov/protein/1807816357
103859424,NS3,nonstructural protein NS3,QHR63281.1,https://www.ncbi.nlm.nih.gov/protein/1802633833
103859424,NS3,nonstructural protein NS3,QHR63261.1,https://www.ncbi.nlm.nih.gov/protein/1802633811
103859424,NS3,nonstructural protein NS3,QHR63251.1,https://www.ncbi.nlm.nih.gov/protein/1802633800
103859424,NS3,nonstructural protein NS3,QHR63271.1,https://www.ncbi.nlm.nih.gov/protein/1802633822
103859424,NS3,nonstructural protein NS3,QHR63291.1,https://www.ncbi.nlm.nih.gov/protein/1802633844
103405766,S,surface glycoprotein,QHZ87592.1,https://www.ncbi.nlm.nih.gov/protein/1808500224
103405766,S,surface glycoprotein,QIA20044.1,https://www.ncbi.nlm.nih.gov/protein/1808633718
103405766,S,surface glycoprotein,QHR84449.1,https://www.ncbi.nlm.nih.gov/protein/1803016606
103405766,S,surface glycoprotein,QHU36844.1,https://www.ncbi.nlm.nih.gov/protein/1805293635
103405766,S,surface glycoprotein,QHQ71973.1,https://www.ncbi.nlm.nih.gov/protein/1802471972
103405766,S,surface glycoprotein,QHN73795.1,https://www.ncbi.nlm.nih.gov/protein/1800242641
103405766,S,surface glycoprotein,QHU79204.1,https://www.ncbi.nlm.nih.gov/protein/1805599867
103405766,S,surface glycoprotein,QIA98596.1,https://www.ncbi.nlm.nih.gov/protein/1809484495
103405766,S,surface glycoprotein,QHW06059.1,https://www.ncbi.nlm.nih.gov/protein/1806553211
103405766,S,spike glycoprotein,QHR63280.2,https://www.ncbi.nlm.nih.gov/protein/1807246653
103405766,S,surface glycoprotein,BCA25644.1,https://www.ncbi.nlm.nih.gov/protein/1807816317
103405766,S,surface glycoprotein,QHW06039.1,https://www.ncbi.nlm.nih.gov/protein/1806553189
103405766,S,surface glycoprotein,QHO62877.1,https://www.ncbi.nlm.nih.gov/protein/1800489758
103405766,S,surface glycoprotein,BCA25664.1,https://www.ncbi.nlm.nih.gov/protein/1807816339
103405766,S,surface glycoprotein,QHU36824.1,https://www.ncbi.nlm.nih.gov/protein/1805293613
103405766,S,surface glycoprotein,QHU79194.1,https://www.ncbi.nlm.nih.gov/protein/1805599856
103405766,S,surface glycoprotein,QHU36864.1,https://www.ncbi.nlm.nih.gov/protein/1805293657
103405766,S,surface glycoprotein,QHU36834.1,https://www.ncbi.nlm.nih.gov/protein/1805293624
103405766,S,surface glycoprotein,BCA25674.1,https://www.ncbi.nlm.nih.gov/protein/1807816350
103405766,S,spike glycoprotein,QHR63290.2,https://www.ncbi.nlm.nih.gov/protein/1807246654
103405766,S,spike glycoprotein,QHR63260.2,https://www.ncbi.nlm.nih.gov/protein/1807246651
103405766,S,surface glycoprotein,QHD43416.1,https://www.ncbi.nlm.nih.gov/protein/1791269090
103405766,S,surface glycoprotein,QHQ71963.1,https://www.ncbi.nlm.nih.gov/protein/1802471961
103405766,S,surface glycoprotein,QHU36854.1,https://www.ncbi.nlm.nih.gov/protein/1805293646
103405766,S,surface glycoprotein,QHN73823.1,https://www.ncbi.nlm.nih.gov/protein/1800242681
103405766,S,surface glycoprotein,QIA98606.1,https://www.ncbi.nlm.nih.gov/protein/1809484506
103405766,S,surface glycoprotein,QHZ00389.1,https://www.ncbi.nlm.nih.gov/protein/1807860454
103405766,S,surface glycoprotein,BCA25654.1,https://www.ncbi.nlm.nih.gov/protein/1807816328
103405766,S,surface glycoprotein,QHN73808.1,https://www.ncbi.nlm.nih.gov/protein/1800242660
103405766,S,surface glycoprotein,QHN73806.1,https://www.ncbi.nlm.nih.gov/protein/1800242656
103405766,S,surface glycoprotein,QHN73822.1,https://www.ncbi.nlm.nih.gov/protein/1800242679
103405766,S,surface glycoprotein,BBW89517.1,https://www.ncbi.nlm.nih.gov/protein/1806500536
103405766,S,surface glycoprotein,QHO60594.1,https://www.ncbi.nlm.nih.gov/protein/1800408778
103405766,S,surface glycoprotein,QHN73805.1,https://www.ncbi.nlm.nih.gov/protein/1800242654
103405766,S,spike glycoprotein,QHR63250.2,https://www.ncbi.nlm.nih.gov/protein/1807246650
103405766,S,surface glycoprotein,QHO62107.1,https://www.ncbi.nlm.nih.gov/protein/1800455119
103405766,S,surface glycoprotein,QHO62112.1,https://www.ncbi.nlm.nih.gov/protein/1800455125
103405766,S,surface glycoprotein,QHU79173.1,https://www.ncbi.nlm.nih.gov/protein/1805599844
103405766,S,surface glycoprotein,QHW06049.1,https://www.ncbi.nlm.nih.gov/protein/1806553200
103405766,S,surface glycoprotein,QHZ00379.1,https://www.ncbi.nlm.nih.gov/protein/1807860441
103405766,S,surface glycoprotein,YP_009724390.1,https://www.ncbi.nlm.nih.gov/protein/1796318598
103405766,S,surface glycoprotein,QHZ87582.1,https://www.ncbi.nlm.nih.gov/protein/1808500213
103405766,S,surface glycoprotein,QHN73810.1,https://www.ncbi.nlm.nih.gov/protein/1800242663
103405766,S,surface glycoprotein,QHZ00358.1,https://www.ncbi.nlm.nih.gov/protein/1807860412
103405766,S,surface glycoprotein,QHN73824.1,https://www.ncbi.nlm.nih.gov/protein/1800242683
103405766,S,surface glycoprotein,QHQ82464.1,https://www.ncbi.nlm.nih.gov/protein/1802498788
103405766,S,surface glycoprotein,QHZ00399.1,https://www.ncbi.nlm.nih.gov/protein/1807860465
103405766,S,surface glycoprotein,QHN73807.1,https://www.ncbi.nlm.nih.gov/protein/1800242658
103405766,S,spike glycoprotein,QHR63270.2,https://www.ncbi.nlm.nih.gov/protein/1807246652
1343053,ORF10,ORF10 protein,BCA25672.1,https://www.ncbi.nlm.nih.gov/protein/1807816347
1343053,ORF10,ORF10 protein,QHU79182.1,https://www.ncbi.nlm.nih.gov/protein/1805599853
1343053,ORF10,ORF10 protein,BCA25652.1,https://www.ncbi.nlm.nih.gov/protein/1807816325
1343053,ORF10,ORF10 protein,QHI42199.1,https://www.ncbi.nlm.nih.gov/protein/1798172433
1343053,ORF10,ORF10 protein,QIA98603.1,https://www.ncbi.nlm.nih.gov/protein/1809484502
1343053,ORF10,ORF10 protein,QHU36852.1,https://www.ncbi.nlm.nih.gov/protein/1805293643
1343053,ORF10,ORF10 protein,BCA25682.1,https://www.ncbi.nlm.nih.gov/protein/1807816358
1343053,ORF10,ORF10 protein,QHZ00387.1,https://www.ncbi.nlm.nih.gov/protein/1807860449
1343053,ORF10,ORF10 protein,BBW89525.1,https://www.ncbi.nlm.nih.gov/protein/1806500544
1343053,ORF10,ORF10 protein,QHU36832.1,https://www.ncbi.nlm.nih.gov/protein/1805293621
1343053,ORF10,ORF10 protein,QHU36872.1,https://www.ncbi.nlm.nih.gov/protein/1805293665
1343053,ORF10,ORF10 protein,QHU36862.1,https://www.ncbi.nlm.nih.gov/protein/1805293654
1343053,ORF10,ORF10 proteiin,QHZ00366.1,https://www.ncbi.nlm.nih.gov/protein/1807860420
1343053,ORF10,ORF10 protein,QHR84457.1,https://www.ncbi.nlm.nih.gov/protein/1803016614
1343053,ORF10,ORF10 protein,QIA98614.1,https://www.ncbi.nlm.nih.gov/protein/1809484514
1343053,ORF10,ORF10 protein,QIA20053.1,https://www.ncbi.nlm.nih.gov/protein/1808633727
1343053,ORF10,ORF10 protein,QHU36842.1,https://www.ncbi.nlm.nih.gov/protein/1805293632
1343053,ORF10,ORF10 protein,YP_009725255.1,https://www.ncbi.nlm.nih.gov/protein/1798174256
1343053,ORF10,ORF10 protein,QHN73818.1,https://www.ncbi.nlm.nih.gov/protein/1800242671
1343053,ORF10,ORF10 protein,BCA25662.1,https://www.ncbi.nlm.nih.gov/protein/1807816336
33654,M,membrane glycoprotein,QHU79197.1,https://www.ncbi.nlm.nih.gov/protein/1805599859
33654,M,membrane glycoprotein,QHD43419.1,https://www.ncbi.nlm.nih.gov/protein/1791269093
33654,M,membrane glycoprotein,QHU36837.1,https://www.ncbi.nlm.nih.gov/protein/1805293627
33654,M,membrane glycoprotein,BCA25647.1,https://www.ncbi.nlm.nih.gov/protein/1807816320
33654,M,membrane protein,QHR63263.1,https://www.ncbi.nlm.nih.gov/protein/1802633813
33654,M,membrane glycoprotein,QHQ82467.1,https://www.ncbi.nlm.nih.gov/protein/1802498791
33654,M,membrane glycoprotein,QHR93621.1,https://www.ncbi.nlm.nih.gov/protein/1803066040
33654,M,membrane glycoprotein,QHW06062.1,https://www.ncbi.nlm.nih.gov/protein/1806553214
33654,M,membrane glycoprotein,QHO60597.1,https://www.ncbi.nlm.nih.gov/protein/1800408781
33654,M,membrane glycoprotein,BCA25667.1,https://www.ncbi.nlm.nih.gov/protein/1807816342
33654,M,membrane glycoprotein,QHU79207.1,https://www.ncbi.nlm.nih.gov/protein/1805599870
33654,M,membrane glycoprotein,QHZ00382.1,https://www.ncbi.nlm.nih.gov/protein/1807860444
33654,M,membrane glycoprotein,BCA25657.1,https://www.ncbi.nlm.nih.gov/protein/1807816331
33654,M,membrane glycoprotein,QHU36827.1,https://www.ncbi.nlm.nih.gov/protein/1805293616
33654,M,membrane glycoprotein,QHR93622.1,https://www.ncbi.nlm.nih.gov/protein/1803066043
33654,M,membrane glycoprotein,QIA98599.1,https://www.ncbi.nlm.nih.gov/protein/1809484498
33654,M,membrane glycoprotein,QHQ71966.1,https://www.ncbi.nlm.nih.gov/protein/1802471964
33654,M,membrane glycoprotein,QHU36857.1,https://www.ncbi.nlm.nih.gov/protein/1805293649
33654,M,membrane glycoprotein,BBW89520.1,https://www.ncbi.nlm.nih.gov/protein/1806500539
33654,M,membrane glycoprotein,QHZ87585.1,https://www.ncbi.nlm.nih.gov/protein/1808500216
33654,M,membrane glycoprotein,QHN73813.1,https://www.ncbi.nlm.nih.gov/protein/1800242666
33654,M,membrane glycoprotein,BCA25677.1,https://www.ncbi.nlm.nih.gov/protein/1807816353
33654,M,membrane glycoprotein,QHQ71976.1,https://www.ncbi.nlm.nih.gov/protein/1802471975
33654,M,membrane glycoprotein,QHZ00402.1,https://www.ncbi.nlm.nih.gov/protein/1807860468
33654,M,membrane glycoprotein,QHZ00392.1,https://www.ncbi.nlm.nih.gov/protein/1807860457
33654,M,matrix protein,QHO62109.1,https://www.ncbi.nlm.nih.gov/protein/1800455121
33654,M,membrane protein,QHR63253.1,https://www.ncbi.nlm.nih.gov/protein/1802633802
33654,M,structural protein,QHZ00361.1,https://www.ncbi.nlm.nih.gov/protein/1807860415
33654,M,membrane glycoprotein,QHU36847.1,https://www.ncbi.nlm.nih.gov/protein/1805293638
33654,M,matrix protein,QHO62114.1,https://www.ncbi.nlm.nih.gov/protein/1800455127
33654,M,membrane protein,QHR63293.1,https://www.ncbi.nlm.nih.gov/protein/1802633846
33654,M,membrane glycoprotein,QHU36867.1,https://www.ncbi.nlm.nih.gov/protein/1805293660
33654,M,membrane glycoprotein,QHW06042.1,https://www.ncbi.nlm.nih.gov/protein/1806553192
33654,M,membrane protein,QHR63283.1,https://www.ncbi.nlm.nih.gov/protein/1802633835
33654,M,membrane glycoprotein,YP_009724393.1,https://www.ncbi.nlm.nih.gov/protein/1796318601
33654,M,membrane glycoprotein,QHO62880.1,https://www.ncbi.nlm.nih.gov/protein/1800489761
33654,M,membrane glycoprotein,QIA98609.1,https://www.ncbi.nlm.nih.gov/protein/1809484509
33654,M,membrane glycoprotein,QHU79176.1,https://www.ncbi.nlm.nih.gov/protein/1805599847
33654,M,membrane glycoprotein,QHZ87595.1,https://www.ncbi.nlm.nih.gov/protein/1808500227
33654,M,membrane glycoprotein,QHW06052.1,https://www.ncbi.nlm.nih.gov/protein/1806553203
33654,M,membrane glycoprotein,QHR84452.1,https://www.ncbi.nlm.nih.gov/protein/1803016609
33654,M,membrane glycoprotein,QIA20047.1,https://www.ncbi.nlm.nih.gov/protein/1808633721
33654,M,membrane protein,QHR63273.1,https://www.ncbi.nlm.nih.gov/protein/1802633824
33654,M,membrane glycoprotein,QHN73798.1,https://www.ncbi.nlm.nih.gov/protein/1800242644
824614,E,envelope protein,QHZ00381.1,https://www.ncbi.nlm.nih.gov/protein/1807860443
824614,E,envelope protein,QHQ82466.1,https://www.ncbi.nlm.nih.gov/protein/1802498790
824614,E,envelope protein,QHW06041.1,https://www.ncbi.nlm.nih.gov/protein/1806553191
824614,E,envelope protein,QHO60596.1,https://www.ncbi.nlm.nih.gov/protein/1800408780
824614,E,envelope protein,QHO62879.1,https://www.ncbi.nlm.nih.gov/protein/1800489760
824614,E,envelope protein,QHR63262.1,https://www.ncbi.nlm.nih.gov/protein/1802633812
824614,E,envelope protein,QHR63292.1,https://www.ncbi.nlm.nih.gov/protein/1802633845
824614,E,envelope protein,QIA98598.1,https://www.ncbi.nlm.nih.gov/protein/1809484497
824614,E,envelope protein,QHN73797.1,https://www.ncbi.nlm.nih.gov/protein/1800242643
824614,E,envelope protein,QHO62113.1,https://www.ncbi.nlm.nih.gov/protein/1800455126
824614,E,envelope protein,QHU36866.1,https://www.ncbi.nlm.nih.gov/protein/1805293659
824614,E,envelope protein,QHR84451.1,https://www.ncbi.nlm.nih.gov/protein/1803016608
824614,E,envelope protein,QHZ00401.1,https://www.ncbi.nlm.nih.gov/protein/1807860467
824614,E,envelope protein,BBW89519.1,https://www.ncbi.nlm.nih.gov/protein/1806500538
824614,E,envelope protein,QHZ00391.1,https://www.ncbi.nlm.nih.gov/protein/1807860456
824614,E,envelope protein,QHW06051.1,https://www.ncbi.nlm.nih.gov/protein/1806553202
824614,E,envelope protein,QHQ71975.1,https://www.ncbi.nlm.nih.gov/protein/1802471974
824614,E,envelope protein,QHR63282.1,https://www.ncbi.nlm.nih.gov/protein/1802633834
824614,E,envelope protein,BCA25666.1,https://www.ncbi.nlm.nih.gov/protein/1807816341
824614,E,envelope protein,QHR63252.1,https://www.ncbi.nlm.nih.gov/protein/1802633801
824614,E,envelope protein,BCA25656.1,https://www.ncbi.nlm.nih.gov/protein/1807816330
824614,E,envelope protein,QHZ87584.1,https://www.ncbi.nlm.nih.gov/protein/1808500215
824614,E,envelope protein,QHD43418.1,https://www.ncbi.nlm.nih.gov/protein/1791269092
824614,E,envelope protein,BCA25676.1,https://www.ncbi.nlm.nih.gov/protein/1807816352
824614,E,envelope protein,YP_009724392.1,https://www.ncbi.nlm.nih.gov/protein/1796318600
824614,E,envelope protein,QHU36836.1,https://www.ncbi.nlm.nih.gov/protein/1805293626
824614,E,envelope protein,QHW06061.1,https://www.ncbi.nlm.nih.gov/protein/1806553213
824614,E,envelope protein,QHU36846.1,https://www.ncbi.nlm.nih.gov/protein/1805293637
824614,E,envelope protein,QHO62108.1,https://www.ncbi.nlm.nih.gov/protein/1800455120
824614,E,envelope protein,QIA20046.1,https://www.ncbi.nlm.nih.gov/protein/1808633720
824614,E,envelope protein,QHQ71965.1,https://www.ncbi.nlm.nih.gov/protein/1802471963
824614,E,envelope protein,QHZ87594.1,https://www.ncbi.nlm.nih.gov/protein/1808500226
824614,E,envelope protein,QHU36826.1,https://www.ncbi.nlm.nih.gov/protein/1805293615
824614,E,envelope protein,QIA98608.1,https://www.ncbi.nlm.nih.gov/protein/1809484508
824614,E,envelope protein,QHR63272.1,https://www.ncbi.nlm.nih.gov/protein/1802633823
824614,E,structural protein,QHZ00360.1,https://www.ncbi.nlm.nih.gov/protein/1807860414
824614,E,envelope protein,QHU79175.1,https://www.ncbi.nlm.nih.gov/protein/1805599846
824614,E,envelope protein,QHU36856.1,https://www.ncbi.nlm.nih.gov/protein/1805293648
824614,E,envelope protein,QHU79196.1,https://www.ncbi.nlm.nih.gov/protein/1805599858
824614,E,envelope protein,QHU79206.1,https://www.ncbi.nlm.nih.gov/protein/1805599869
824614,E,envelope protein,QHN73812.1,https://www.ncbi.nlm.nih.gov/protein/1800242665
824614,E,envelope protein,BCA25646.1,https://www.ncbi.nlm.nih.gov/protein/1807816319
4893,NS6,nonstructural protein NS6,QHR63254.1,https://www.ncbi.nlm.nih.gov/protein/1802633803
4893,NS6,nonstructural protein NS6,QHR63274.1,https://www.ncbi.nlm.nih.gov/protein/1802633825
4893,NS6,nonstructural protein NS6,QHR63264.1,https://www.ncbi.nlm.nih.gov/protein/1802633814
4893,NS6,nonstructural protein NS6,QHR63294.1,https://www.ncbi.nlm.nih.gov/protein/1802633847
4893,NS6,nonstructural protein NS6,QHR63284.1,https://www.ncbi.nlm.nih.gov/protein/1802633836
