#host-protein-ID,NCBI-gene-ID,disease-ID,disease-ID-NCI,disease-name
7374,10004,635,27819,Neuroblastoma
26763,100048912,609122,2940,Aneurysm
26763,100048912,208060,3850,Arteriosclerosis
26763,100048912,209010,4153,Atherosclerosis
26763,100048912,275355,7137,Squamous cell carcinoma
26763,100048912,612227,11849,Diabetes Mellitus
26763,100048912,137760,17601,Glaucoma
26763,100048912,601626,23418,leukemia
26763,100048912,252183,27830,neurofibroma
26763,100048912,260950,31099,Periodontitis
26763,100048912,2884,80024,Piebaldism
26763,100048912,615083,1527249,Colorectal Cancer
26763,100048912,610947,1956346,Coronary Artery Disease
26766,100049587,600807,4096,Asthma
26766,100049587,146850,1840264,IMMUNE SUPPRESSION
7375,10005,178029,687720,Central Diabetes Insipidus
7376,10006,601626,23418,leukemia
7376,10006,175510,32584,polyps
7376,10006,615083,1527249,Colorectal Cancer
7378,10008,617280,4238,Atrial Fibrillation
7378,10008,94093,27849,Neuroleptic Malignant Syndrome
7378,10008,609289,39070,Syncope
7378,10008,612956,42510,Ventricular Fibrillation
7378,10008,682,238357,Hyperkalemic periodic paralysis
7378,10008,681,238358,Hypokalemic periodic paralysis
7378,10008,79102,268446,Thyrotoxic periodic paralysis
818,1001,144700,7134,Renal Cell Carcinoma
818,1001,275355,7137,Squamous cell carcinoma
818,1001,1818,13575,Ectodermal Dysplasia
818,1001,615439,24437,Macular degeneration
818,1001,615848,25202,melanoma
818,1001,791,35334,Retinitis Pigmentosa
818,1001,609432,39075,Syndactyly
818,1001,183660,85110,Severe Combined Immunodeficiency
818,1001,2889,263491,Pili Torti
818,1001,604292,265554,Ectrodactyly
818,1001,2867,349588,Short stature
818,1001,304030,730290,Cone dystrophy
818,1001,617111,730292,Macular dystrophy
818,1001,615083,1527249,Colorectal Cancer
7380,10010,803,2736,Amyotrophic Lateral Sclerosis
7380,10010,180300,3873,Rheumatoid Arthritis
7380,10010,29073,26764,Multiple Myeloma
7380,10010,613886,28754,Obesity
7381,10011,219050,10417,Cryptorchidism
7381,10011,601626,23418,leukemia
7381,10011,520,23487,Acute Promyelocytic Leukemia
7381,10011,181500,36341,Schizophrenia
7381,10011,272120,38644,Sudden infant death syndrome
7381,10011,217607,340427,Familial dilated cardiomyopathy
7381,10011,140,1861922,CAMPOMELIC DYSPLASIA
7381,10011,3080,3714756,Intellectual Disability
26838,100124700,144700,7134,Renal Cell Carcinoma
26838,100124700,275355,7137,Squamous cell carcinoma
26838,100124700,360,17636,Glioblastoma
26838,100124700,397,39483,Giant Cell Arteritis
26838,100124700,615083,1527249,Colorectal Cancer
26838,100124700,1412,1861305,TARSAL-CARPAL COALITION SYNDROME
26838,100124700,617075,2931822,Nasopharyngeal carcinoma
26839,100125288,208060,3850,Arteriosclerosis
26839,100125288,209010,4153,Atherosclerosis
26839,100125288,612227,11849,Diabetes Mellitus
26839,100125288,97280,17689,Glucagonoma
26839,100125288,97279,21670,insulinoma
26839,100125288,613886,28754,Obesity
26839,100125288,610947,1956346,Coronary Artery Disease
26845,100126270,908,16667,Fragile X Syndrome
26847,100126297,275355,7137,Squamous cell carcinoma
26847,100126297,668,29463,Osteosarcoma
26848,100126299,275355,7137,Squamous cell carcinoma
26848,100126299,95,16719,Friedreich Ataxia
26848,100126299,168600,30567,Parkinson Disease
26848,100126299,155240,549473,Thyroid carcinoma
26848,100126299,79283,1848561,Methylmalonic acidemia with homocystinuria
26850,100126302,615083,1527249,Colorectal Cancer
26855,100126308,171300,31511,Pheochromocytoma
26856,100126309,617049,8370,Cholestasis
26859,100126313,29073,26764,Multiple Myeloma
26862,100126316,360,17636,Glioblastoma
26862,100126316,615083,1527249,Colorectal Cancer
26863,100126317,615848,25202,melanoma
26865,100126319,617075,2931822,Nasopharyngeal carcinoma
26867,100126321,126200,26769,Multiple Sclerosis
26870,100126325,616,25149,Medulloblastoma
26873,100126328,617075,2931822,Nasopharyngeal carcinoma
26878,100126333,144700,7134,Renal Cell Carcinoma
26878,100126333,601626,23418,leukemia
26878,100126333,615083,1527249,Colorectal Cancer
26879,100126334,275355,7137,Squamous cell carcinoma
26879,100126334,635,27819,Neuroblastoma
26879,100126334,653,4048306,Multiple endocrine neoplasia Type 2
26880,100126335,824,1815,Primary Myelofibrosis
26881,100126336,618138,26850,Muscular Dystrophy
26885,100126340,275355,7137,Squamous cell carcinoma
26888,100126343,668,29463,Osteosarcoma
26889,100126345,275355,7137,Squamous cell carcinoma
26892,100126348,615083,1527249,Colorectal Cancer
26897,100126354,275355,7137,Squamous cell carcinoma
26897,100126354,360,17636,Glioblastoma
26899,100126356,790,35335,Retinoblastoma
26899,100126356,615083,1527249,Colorectal Cancer
26901,100126572,618481,11053,Deafness
26901,100126572,618124,31117,Peripheral Neuropathy
27196,100128998,69,2726,Amyloidosis
27196,100128998,208060,3850,Arteriosclerosis
27196,100128998,209010,4153,Atherosclerosis
27196,100128998,99828,11311,Dengue Fever
27196,100128998,801,11644,Scleroderma
27196,100128998,612227,11849,Diabetes Mellitus
27196,100128998,618357,14544,Epilepsy
27196,100128998,1915,15923,Fetal Alcohol Syndrome
27196,100128998,908,16667,Fragile X Syndrome
27196,100128998,360,17636,Glioblastoma
27196,100128998,520,23487,Acute Promyelocytic Leukemia
27196,100128998,615848,25202,melanoma
27196,100128998,126200,26769,Multiple Sclerosis
27196,100128998,589,26896,Myasthenia Gravis
27196,100128998,613886,28754,Obesity
27196,100128998,260950,31099,Periodontitis
27196,100128998,2970,33770,Prune Belly Syndrome
27196,100128998,617080,36572,Seizures
27196,100128998,903,42974,von Willebrand Disease
27196,100128998,610947,1956346,Coronary Artery Disease
27196,100128998,275766,3203102,Idiopathic pulmonary arterial hypertension
27341,100129528,175510,32584,polyps
27354,100129583,168600,30567,Parkinson Disease
7382,10013,824,1815,Primary Myelofibrosis
7382,10013,69,2726,Amyloidosis
7382,10013,803,2736,Amyotrophic Lateral Sclerosis
7382,10013,600807,4096,Asthma
7382,10013,275355,7137,Squamous cell carcinoma
7382,10013,618400,7959,Charcot-Marie-Tooth Disease
7382,10013,586,10674,Cystic Fibrosis
7382,10013,360,17636,Glioblastoma
7382,10013,399,20179,Huntington Disease
7382,10013,617967,20255,Hydrocephalus
7382,10013,601626,23418,leukemia
7382,10013,605027,24299,Lymphoma
7382,10013,615848,25202,melanoma
7382,10013,29073,26764,Multiple Myeloma
7382,10013,635,27819,Neuroblastoma
7382,10013,168600,30567,Parkinson Disease
7382,10013,618124,31117,Peripheral Neuropathy
7382,10013,778,35372,Rett Syndrome
7382,10013,70567,206698,Cholangiocarcinoma
7382,10013,2501,265290,Metaphyseal chondrodysplasia
7382,10013,601376,343284,Chondrodysplasia
7382,10013,2867,349588,Short stature
27502,100130097,612227,11849,Diabetes Mellitus
27502,100130097,610947,1956346,Coronary Artery Disease
27592,100130480,614450,20676,Hypothyroidism
27605,100130535,586,10674,Cystic Fibrosis
27605,100130535,601626,23418,leukemia
27695,100130958,144700,7134,Renal Cell Carcinoma
27695,100130958,275355,7137,Squamous cell carcinoma
27695,100130958,617049,8370,Cholestasis
27695,100130958,618357,14544,Epilepsy
27695,100130958,605027,24299,Lymphoma
27695,100130958,615848,25202,melanoma
27695,100130958,29073,26764,Multiple Myeloma
27695,100130958,273120,39538,Teratoma
27695,100130958,1501,206686,Adrenocortical carcinoma
27695,100130958,70567,206698,Cholangiocarcinoma
27695,100130958,115,220668,Congenital contractural arachnodactyly
27695,100130958,615083,1527249,Colorectal Cancer
27747,100131187,142,238461,Anaplastic thyroid carcinoma
27798,100131434,654,27708,Nephroblastoma
27870,100131814,181500,36341,Schizophrenia
27926,100132074,612227,11849,Diabetes Mellitus
27926,100132074,145750,20557,Hypertriglyceridemia
27926,100132074,613886,28754,Obesity
27964,100132285,180300,3873,Rheumatoid Arthritis
27964,100132285,109650,4943,Behcet Syndrome
27964,100132285,144700,7134,Renal Cell Carcinoma
27964,100132285,801,11644,Scleroderma
27964,100132285,612227,11849,Diabetes Mellitus
27964,100132285,137280,17152,Gastritis
27964,100132285,360,17636,Glioblastoma
27964,100132285,509,23364,Leptospirosis
27964,100132285,601626,23418,leukemia
27964,100132285,605027,24299,Lymphoma
27964,100132285,126200,26769,Multiple Sclerosis
27964,100132285,635,27819,Neuroblastoma
27964,100132285,342,31069,Familial Mediterranean Fever
27964,100132285,192310,42384,Vasculitis
27964,100132285,60032,1168198,Recurrent respiratory papillomatosis
28179,100133941,144700,7134,Renal Cell Carcinoma
28179,100133941,275355,7137,Squamous cell carcinoma
28179,100133941,251636,14474,Ependymoma
28179,100133941,360,17636,Glioblastoma
28179,100133941,601626,23418,leukemia
28179,100133941,605027,24299,Lymphoma
28179,100133941,447,24790,Paroxysmal nocturnal hemoglobinuria
28179,100133941,616,25149,Medulloblastoma
28179,100133941,126200,26769,Multiple Sclerosis
28179,100133941,654,27708,Nephroblastoma
28179,100133941,635,27819,Neuroblastoma
28179,100133941,613886,28754,Obesity
28179,100133941,797,36202,Sarcoidosis
28179,100133941,397,39483,Giant Cell Arteritis
28179,100133941,221091,40997,Trigeminal Neuralgia
28179,100133941,70567,206698,Cholangiocarcinoma
28179,100133941,300813,1261473,Sarcoma
28179,100133941,615083,1527249,Colorectal Cancer
28179,100133941,146850,1840264,IMMUNE SUPPRESSION
28179,100133941,617075,2931822,Nasopharyngeal carcinoma
28186,100134444,681,238358,Hypokalemic periodic paralysis
28186,100134444,79102,268446,Thyrotoxic periodic paralysis
28195,100137049,181500,36341,Schizophrenia
7383,10014,208060,3850,Arteriosclerosis
7383,10014,180300,3873,Rheumatoid Arthritis
7383,10014,209010,4153,Atherosclerosis
7383,10014,615344,20542,Pulmonary Hypertension
7383,10014,601626,23418,leukemia
7383,10014,616,25149,Medulloblastoma
7383,10014,635,27819,Neuroblastoma
7383,10014,613886,28754,Obesity
7383,10014,668,29463,Osteosarcoma
28198,100144435,181500,36341,Schizophrenia
28206,100144748,144700,7134,Renal Cell Carcinoma
28206,100144748,155240,549473,Thyroid carcinoma
7384,10015,208060,3850,Arteriosclerosis
7384,10015,615848,25202,melanoma
7384,10015,3451,37769,West Syndrome
28303,100151683,618291,26847,Spinal Muscular Atrophy
28303,100151683,300215,266463,Lissencephaly
28303,100151683,353298,1846059,Roifman syndrome
28304,100151684,618291,26847,Spinal Muscular Atrophy
7385,10016,615848,25202,melanoma
7385,10016,39044,220633,Uveal melanoma
28312,100169750,1114,282160,Aplasia Cutis Congenita
7386,10017,537,14518,Toxic Epidermal Necrolysis
7386,10017,601626,23418,leukemia
7386,10017,29073,26764,Multiple Myeloma
7386,10017,615083,1527249,Colorectal Cancer
7387,10018,69,2726,Amyloidosis
7387,10018,180300,3873,Rheumatoid Arthritis
7387,10018,543,6413,Burkitt Lymphoma
7387,10018,144700,7134,Renal Cell Carcinoma
7387,10018,360,17636,Glioblastoma
7387,10018,399,20179,Huntington Disease
7387,10018,601626,23418,leukemia
7387,10018,605027,24299,Lymphoma
7387,10018,615848,25202,melanoma
7387,10018,29073,26764,Multiple Myeloma
7387,10018,635,27819,Neuroblastoma
7387,10018,668,29463,Osteosarcoma
7387,10018,2965,33375,Prolactinoma
7387,10018,3389,41296,Tuberculosis
7387,10018,618398,79772,T-Cell Lymphoma
7387,10018,300813,1261473,Sarcoma
7387,10018,3261,1328840,Autoimmune Lymphoproliferative Syndrome
7387,10018,615083,1527249,Colorectal Cancer
28365,100187716,360,17636,Glioblastoma
28365,100187716,168600,30567,Parkinson Disease
28366,100188847,171300,31511,Pheochromocytoma
28366,100188847,653,4048306,Multiple endocrine neoplasia Type 2
7388,10019,85138,1403,Addison Disease
7388,10019,803,2736,Amyotrophic Lateral Sclerosis
7388,10019,180300,3873,Rheumatoid Arthritis
7388,10019,600807,4096,Asthma
7388,10019,226810,7570,Celiac Disease
7388,10019,612227,11849,Diabetes Mellitus
7388,10019,131400,14457,Eosinophilia
7388,10019,601626,23418,leukemia
7388,10019,126200,26769,Multiple Sclerosis
7388,10019,254700,27022,Myeloproliferative disease
7388,10019,729,32463,Polycythemia Vera
7388,10019,614979,38002,Splenomegaly
7388,10019,107320,85278,Antiphospholipid Syndrome
7388,10019,607785,349639,Juvenile Myelomonocytic Leukemia
7388,10019,618412,557874,Global developmental delay
7388,10019,171,566602,Primary sclerosing cholangitis
7388,10019,300331,836924,Thrombocytosis
7388,10019,615083,1527249,Colorectal Cancer
7388,10019,610947,1956346,Coronary Artery Disease
819,1002,617075,2931822,Nasopharyngeal carcinoma
7389,10020,144700,7134,Renal Cell Carcinoma
7389,10020,618357,14544,Epilepsy
7389,10020,614450,20676,Hypothyroidism
7389,10020,615848,25202,melanoma
7389,10020,618414,26848,Myopathy
7389,10020,160750,27121,Myositis
7389,10020,617080,36572,Seizures
7389,10020,614979,38002,Splenomegaly
7389,10020,617441,40034,Thrombocytopenia
7389,10020,293848,338451,Frontotemporal dementia
7389,10020,3166,342853,Sialuria
7389,10020,127750,497327,Dementia
7389,10020,618412,557874,Global developmental delay
7389,10020,605820,1853926,NONAKA MYOPATHY
7390,10021,617280,4238,Atrial Fibrillation
7390,10021,611528,349788,Arrhythmogenic Right Ventricular Dysplasia
7392,10023,360,17636,Glioblastoma
7392,10023,615083,1527249,Colorectal Cancer
7395,10026,605027,24299,Lymphoma
7395,10026,615083,1527249,Colorectal Cancer
28975,100270680,615083,1527249,Colorectal Cancer
29737,100271849,616192,4134,Ataxia
29737,100271849,94122,7758,Cerebellar Ataxia
29737,100271849,126200,26769,Multiple Sclerosis
29789,100287171,70589,6287,Bronchopulmonary Dysplasia
29789,100287171,168600,30567,Parkinson Disease
29789,100287171,181500,36341,Schizophrenia
29899,100287932,52368,796074,MOHR-TRANEBJAERG SYNDROME
29998,100288687,618414,26848,Myopathy
29998,100288687,618138,26850,Muscular Dystrophy
29998,100288687,83469,281508,Desmoplastic Small Round Cell Tumor
29998,100288687,300813,1261473,Sarcoma
30044,100289019,615083,1527249,Colorectal Cancer
30052,100289087,615848,25202,melanoma
30052,100289087,439167,32051,Placental Insufficiency
30052,100289087,206484,206661,Gonadoblastoma
30103,100289462,107700,3615,Appendicitis
30103,100289462,208060,3850,Arteriosclerosis
30103,100289462,209010,4153,Atherosclerosis
30103,100289462,616445,6840,Candidiasis
30103,100289462,275355,7137,Squamous cell carcinoma
30103,100289462,586,10674,Cystic Fibrosis
30103,100289462,603165,11603,Dermatitis
30103,100289462,137280,17152,Gastritis
30103,100289462,673,24530,Malaria
30103,100289462,166760,29882,Otitis Media
30103,100289462,260950,31099,Periodontitis
30103,100289462,3389,41296,Tuberculosis
30103,100289462,192310,42384,Vasculitis
30103,100289462,73247,341106,Eosinophilic esophagitis
30103,100289462,171,566602,Primary sclerosing cholangitis
30103,100289462,900,3495801,Granulomatosis with polyangiitis
30128,100289683,126200,26769,Multiple Sclerosis
30133,100293516,870,13080,Down Syndrome
820,1003,609122,2940,Aneurysm
820,1003,617349,3486,Aortic Aneurysm
820,1003,360,17636,Glioblastoma
820,1003,109720,23892,Biliary cirrhosis
820,1003,615848,25202,melanoma
820,1003,635,27819,Neuroblastoma
820,1003,155240,549473,Thyroid carcinoma
820,1003,615083,1527249,Colorectal Cancer
820,1003,610947,1956346,Coronary Artery Disease
820,1003,70591,2363973,Chronic thromboembolic pulmonary hypertension
30148,100302123,360,17636,Glioblastoma
30148,100302123,1114,282160,Aplasia Cutis Congenita
30149,100302124,615083,1527249,Colorectal Cancer
30162,100302137,615083,1527249,Colorectal Cancer
30167,100302142,180300,3873,Rheumatoid Arthritis
30167,100302142,275355,7137,Squamous cell carcinoma
30167,100302142,870,13080,Down Syndrome
30167,100302142,98878,19069,Hemophilia A
30167,100302142,29073,26764,Multiple Myeloma
30170,100302145,399,20179,Huntington Disease
30194,100302174,615083,1527249,Colorectal Cancer
30201,100302183,803,2736,Amyotrophic Lateral Sclerosis
30203,100302185,543,6413,Burkitt Lymphoma
30203,100302185,617075,2931822,Nasopharyngeal carcinoma
30216,100302203,181500,36341,Schizophrenia
30226,100302217,615083,1527249,Colorectal Cancer
30230,100302221,144700,7134,Renal Cell Carcinoma
30241,100302234,668,29463,Osteosarcoma
30241,100302234,181500,36341,Schizophrenia
30248,100302242,144700,7134,Renal Cell Carcinoma
30258,100302259,1114,282160,Aplasia Cutis Congenita
30261,100302263,360,17636,Glioblastoma
30261,100302263,615848,25202,melanoma
30277,100302285,601803,265449,Pallister-Killian syndrome
30292,100302690,181500,36341,Schizophrenia
30295,100302736,208060,3850,Arteriosclerosis
30295,100302736,180300,3873,Rheumatoid Arthritis
30295,100302736,209010,4153,Atherosclerosis
30295,100302736,144700,7134,Renal Cell Carcinoma
30295,100302736,275355,7137,Squamous cell carcinoma
30295,100302736,360,17636,Glioblastoma
30295,100302736,609808,18552,Hamartoma
30295,100302736,97279,21670,insulinoma
30295,100302736,601626,23418,leukemia
30295,100302736,605027,24299,Lymphoma
30295,100302736,616,25149,Medulloblastoma
30295,100302736,615848,25202,melanoma
30295,100302736,652,25267,Multiple Endocrine Neoplasia Type 1
30295,100302736,156240,25500,Mesothelioma
30295,100302736,29073,26764,Multiple Myeloma
30295,100302736,254700,27022,Myeloproliferative disease
30295,100302736,610755,27662,Multiple Endocrine Neoplasia
30295,100302736,613886,28754,Obesity
30295,100302736,668,29463,Osteosarcoma
30295,100302736,171300,31511,Pheochromocytoma
30295,100302736,600634,32000,Pituitary Adenoma
30295,100302736,729,32463,Polycythemia Vera
30295,100302736,178500,34069,Pulmonary Fibrosis
30295,100302736,790,35335,Retinoblastoma
30295,100302736,99867,40100,Thymoma
30295,100302736,3389,41296,Tuberculosis
30295,100302736,70567,206698,Cholangiocarcinoma
30295,100302736,115,220668,Congenital contractural arachnodactyly
30295,100302736,2024,399440,Hereditary gingival fibromatosis
30295,100302736,155240,549473,Thyroid carcinoma
30295,100302736,300813,1261473,Sarcoma
30295,100302736,615083,1527249,Colorectal Cancer
30295,100302736,617075,2931822,Nasopharyngeal carcinoma
30298,100302739,275355,7137,Squamous cell carcinoma
30299,100302740,176600,11265,Presenile dementia
30299,100302740,605027,24299,Lymphoma
30299,100302740,729,32463,Polycythemia Vera
30299,100302740,127750,497327,Dementia
30303,100302746,615083,1527249,Colorectal Cancer
30305,100303453,181500,36341,Schizophrenia
30306,100303491,601626,23418,leukemia
30419,100313778,70591,2363973,Chronic thromboembolic pulmonary hypertension
30562,100316868,615083,1527249,Colorectal Cancer
7400,10036,803,2736,Amyotrophic Lateral Sclerosis
7400,10036,617280,4238,Atrial Fibrillation
7400,10036,144700,7134,Renal Cell Carcinoma
7400,10036,360,17636,Glioblastoma
7400,10036,635,27819,Neuroblastoma
7400,10036,293848,338451,Frontotemporal dementia
7400,10036,615083,1527249,Colorectal Cancer
30591,100379323,126200,26769,Multiple Sclerosis
30595,100379571,69,2726,Amyloidosis
7401,10038,615980,23787,Lipodystrophy
7401,10038,126200,26769,Multiple Sclerosis
7401,10038,613886,28754,Obesity
30612,100381270,615083,1527249,Colorectal Cancer
7402,10039,208060,3850,Arteriosclerosis
7402,10039,209010,4153,Atherosclerosis
7402,10039,586,10674,Cystic Fibrosis
7402,10039,360,17636,Glioblastoma
7402,10039,635,27819,Neuroblastoma
821,1004,144700,7134,Renal Cell Carcinoma
821,1004,155240,549473,Thyroid carcinoma
7403,10040,275355,7137,Squamous cell carcinoma
30705,100419006,683,38868,Progressive supranuclear palsy
7404,10042,824,1815,Primary Myelofibrosis
7404,10042,309200,1839839,MAJOR AFFECTIVE DISORDER 2
31454,100422829,824,1815,Primary Myelofibrosis
31458,100422833,617075,2931822,Nasopharyngeal carcinoma
31505,100422880,600807,4096,Asthma
31533,100422910,259750,29456,Osteoporosis
31539,100422916,145750,20557,Hypertriglyceridemia
31539,100422916,615848,25202,melanoma
31539,100422916,610947,1956346,Coronary Artery Disease
31557,100422934,168600,30567,Parkinson Disease
31566,100422943,360,17636,Glioblastoma
31571,100422948,360,17636,Glioblastoma
31612,100422991,144700,7134,Renal Cell Carcinoma
31613,100422992,601626,23418,leukemia
31613,100422992,615848,25202,melanoma
31617,100422996,668,29463,Osteosarcoma
31624,100423003,260900,31039,Pericardial effusion
31634,100423014,397,39483,Giant Cell Arteritis
31644,100423026,803,2736,Amyotrophic Lateral Sclerosis
31646,100423028,29073,26764,Multiple Myeloma
31665,100423062,605027,24299,Lymphoma
31665,100423062,2905,85404,POEMS Syndrome
7405,10043,586,10674,Cystic Fibrosis
7405,10043,601626,23418,leukemia
7405,10043,309200,1839839,MAJOR AFFECTIVE DISORDER 2
7406,10044,2014,8925,Cleft Palate
7406,10044,635,27819,Neuroblastoma
7408,10046,312300,268301,Reifenstein Syndrome
31743,100463498,176600,11265,Presenile dementia
31743,100463498,870,13080,Down Syndrome
31743,100463498,388,19569,Hirschsprung Disease
31743,100463498,127750,497327,Dementia
7409,10047,615848,25202,melanoma
7410,10048,69,2726,Amyloidosis
7410,10048,181500,36341,Schizophrenia
7411,10049,180300,3873,Rheumatoid Arthritis
7411,10049,399,20179,Huntington Disease
7411,10049,615848,25202,melanoma
7411,10049,618414,26848,Myopathy
7411,10049,618138,26850,Muscular Dystrophy
7411,10049,168600,30567,Parkinson Disease
7411,10049,615083,1527249,Colorectal Cancer
7411,10049,605820,1853926,NONAKA MYOPATHY
31765,100499483,109650,4943,Behcet Syndrome
822,1005,615848,25202,melanoma
7412,10050,208060,3850,Arteriosclerosis
7412,10050,209010,4153,Atherosclerosis
31781,100500813,230300,3665358,Galactorrhea
31843,100500880,275355,7137,Squamous cell carcinoma
31858,100500896,155240,549473,Thyroid carcinoma
31863,100500901,668,29463,Osteosarcoma
31909,100505573,605027,24299,Lymphoma
31909,100505573,48686,1292753,Primary Effusion Lymphoma
31921,100505633,275355,7137,Squamous cell carcinoma
32010,100506013,612079,2170,Alopecia
32010,100506013,908,16667,Fragile X Syndrome
32010,100506013,613886,28754,Obesity
32010,100506013,2909,32339,Rothmund-Thomson syndrome
32010,100506013,312300,268301,Reifenstein Syndrome
32010,100506013,612336,398623,Thrombophilia
32016,100506036,180300,3873,Rheumatoid Arthritis
32063,100506248,108100,3864,Arthritis
32063,100506248,180300,3873,Rheumatoid Arthritis
32063,100506248,399,20179,Huntington Disease
32063,100506248,29073,26764,Multiple Myeloma
32063,100506248,635,27819,Neuroblastoma
32063,100506248,617075,2931822,Nasopharyngeal carcinoma
